AccidentType,inckey,Fatalities,Injuries,TrackDamage,EquipmentDamage,HazmatCars,HazmatCarsDerailed,HazmatCarsReleasing,County,DisplayDate,DisplayTime,calendar,Fiscal,AccidentCause,RailroadCodes,RAILEQUIPMENT_TYPE,CauseGroup,CauseDiscipline,TYPE_OF_TRACK,StateName,latitude,longitude,GeoLocation
Derailments,2013:10:ARR:20130095,0,0,15000,2000,0,0,0,MATANUSKA SUSITNA,10/10/2013 0:00,3:00,2013,2014,"M101,","ARR,",1,"M1,","M,",MAIN,Alaska,62.60026,-150.027313,"Alaska
(62.60026, -150.027313)"
Other events,2015:07:ARR:2015126,0,0,687,187943,0,0,0,ANCHORAGE,7/3/2015 0:00,7:55,2015,2015,"H017,","ARR,",8,"H0,","H,",YARD,Alaska,61.222756,-149.888214,"Alaska
(61.222756, -149.888214)"
Derailments,2016:05:ARR:2016106,0,0,0,12610,0,0,0,ANCHORAGE,5/25/2016 0:00,15:00,2016,2016,"H303,","ARR,",NA,"H3,","H,",YARD,Alaska,61.222756,-149.888214,"Alaska
(61.222756, -149.888214)"
Derailments,2013:08:ARR:20130079,0,0,10300,0,0,0,0,ANCHORAGE,8/15/2013 0:00,21:00,2013,2013,"T319,","ARR,",7,"T3,","T,",YARD,Alaska,61.227244,-149.848108,"Alaska
(61.227244, -149.848108)"
Other impacts,2011:12:ARR:20110154,0,0,0,43000,1,1,0,ANCHORAGE,12/24/2011 0:00,16:45,2011,2012,"H309,","ARR,",6,"H3,","H,",YARD,Alaska,61.135642,-149.523916,"Alaska
(61.135642, -149.523916)"
Other events,2015:03:ARR:2015054,0,0,0,31802,0,0,0,ANCHORAGE,3/12/2015 0:00,24:55:00,2015,2015,"M599,","ARR,",4,"M5,","M,",MAIN,Alaska,61.168085,-149.445394,"Alaska
(61.168085, -149.445394)"
Other events,2009:03:ARR:09046,0,0,100000,350000,0,0,0,KENAI PENINSULA,3/25/2009 0:00,23:15,2009,2009,"M199,M101,","ARR,",1,"M1,","M,",MAIN,Alaska,61.17782,-149.18861,"Alaska
(61.17782, -149.18861)"
Derailments,2014:11:ARR:2014202,0,0,4450,30800,23,0,0,VALDEZ CORDOVA,11/26/2014 0:00,17:08,2014,2015,"H306,H303,","ARR,",7,"H3,","H,",YARD,Alaska,60.463,-148.403,"Alaska
(60.463, -148.403)"
Derailments,2014:07:ARR:2014129,0,0,1500,15437,0,0,0,FAIRBANKS NORTH STAR,7/21/2014 0:00,8:45,2014,2014,"E32C,","ARR,",1,"E3,","E,",YARD,Alaska,64.838457,-147.713478,"Alaska
(64.838457, -147.713478)"
Derailments,2014:07:PARN:140701,0,24,100000,1100000,0,0,0,SKAGWAY-HOONAH-ANGOO,7/23/2014 0:00,13:55,2014,2014,"T310,","PARN,",2,"T3,","T,",MAIN,Alaska,59.458,-135.313,"Alaska
(59.458, -135.313)"
