"","gawks","ac"
"1",12.28571,59
"2",12.28571,64
"3",12.28571,56
"4",12.42857,61
"5",12.71429,74
"6",12.71429,60
"7",12.71429,75
"8",12.85714,63
"9",12.85714,62
"10",12.85714,67
"11",13,66
"12",13,66
"13",13.14286,62
"14",13.14286,68
"15",13.28571,76
"16",13.28571,66
"17",13.42857,90
"18",13.42857,71
"19",13.42857,75
"20",13.42857,75
"21",13.42857,77
"22",13.57143,77
"23",13.57143,83
"24",13.71429,77
"25",13.71429,78
"26",13.85714,84
"27",13.85714,89
"28",14,88
"29",14,80
"30",14,80
"31",14.28571,88
"32",14.28571,69
"33",14.28571,104
"34",14.28571,90
"35",14.42857,89
"36",14.42857,90
"37",14.42857,88
"38",14.57143,98
"39",14.57143,94
"40",14.71429,84
"41",14.71429,100
"42",14.71429,84
"43",14.71429,86
"44",14.71429,82
"45",14.85714,87
"46",15,93
"47",15,107
"48",15,105
"49",15.14286,93
"50",15.14286,88
"51",15.28571,101
"52",15.28571,88
"53",15.28571,100
"54",15.42857,96
"55",15.42857,112
"56",15.57143,102
"57",15.71429,101
"58",15.71429,87
"59",15.85714,104
"60",15.85714,115
"61",16,121
"62",16.14286,122
"63",16.14286,102
"64",16.14286,109
"65",16.28572,113
"66",16.28572,115
"67",16.28572,114
"68",16.28572,111
"69",16.42857,116
"70",16.42857,112
"71",16.42857,106
"72",16.42857,124
"73",16.42857,98
"74",16.57143,113
"75",16.57143,115
"76",16.71428,123
"77",16.71428,107
"78",16.71428,126
"79",16.71428,106
"80",16.85714,123
"81",16.85714,128
"82",17,115
"83",17,112
"84",17,110
"85",17,106
"86",17,114
"87",17.14286,131
"88",17.14286,122
"89",17.28572,121
"90",17.28572,117
"91",17.42857,117
"92",17.42857,120
"93",17.42857,125
"94",17.57143,147
"95",17.57143,118
"96",17.57143,136
"97",17.57143,134
"98",17.71428,134
"99",17.71428,151
"100",17.71428,116
"101",17.71428,132
"102",17.85714,108
"103",17.85714,122
"104",17.85714,126
"105",17.85714,129
"106",18,124
"107",18,131
"108",18,132
"109",18.14286,139
"110",18.14286,129
"111",18.14286,137
"112",18.28572,115
"113",18.28572,128
"114",18.28572,130
"115",18.28572,130
"116",18.28572,140
"117",18.28572,135
"118",18.42857,121
"119",18.42857,151
"120",18.57143,143
"121",18.57143,151
"122",18.57143,131
"123",18.71428,141
"124",18.85714,127
"125",19,147
"126",19,136
"127",19,134
"128",19.14286,139
"129",19.14286,141
"130",19.28572,154
"131",19.28572,152
"132",19.28572,148
"133",19.28572,152
"134",19.28572,155
"135",19.28572,153
"136",19.42857,148
"137",19.42857,142
"138",19.42857,145
"139",19.42857,149
"140",19.57143,147
"141",19.57143,133
"142",19.57143,148
"143",19.57143,150
"144",19.57143,150
"145",19.57143,142
"146",19.57143,154
"147",19.71428,153
"148",19.85714,152
"149",19.85714,150
"150",20,166
"151",20,144
"152",20,151
"153",20,166
"154",20,154
"155",20.14286,141
"156",20.28572,144
"157",20.28572,168
"158",20.28572,159
"159",20.28572,148
"160",20.42857,174
"161",20.42857,150
"162",20.57143,172
"163",20.57143,167
"164",20.57143,165
"165",20.71428,147
"166",20.71428,168
"167",20.71428,153
"168",20.71428,162
"169",20.71428,163
"170",20.71428,167
"171",20.85714,158
"172",21,181
"173",21,182
"174",21,177
"175",21.14286,154
"176",21.14286,169
"177",21.14286,173
"178",21.14286,156
"179",21.28572,161
"180",21.28572,149
"181",21.28572,155
"182",21.28572,160
"183",21.42857,175
"184",21.42857,167
"185",21.42857,186
"186",21.57143,171
"187",21.57143,157
"188",21.57143,163
"189",21.57143,159
"190",21.57143,167
"191",21.85714,178
"192",21.85714,163
"193",21.85714,171
"194",21.85714,164
"195",22,158
"196",22,184
"197",22,180
"198",22.14286,165
"199",22.14286,165
"200",22.28572,171
"201",22.28572,176
"202",22.42857,180
"203",22.42857,170
"204",22.42857,180
"205",22.42857,170
"206",22.42857,184
"207",22.57143,176
"208",22.57143,170
"209",22.57143,161
"210",22.71428,182
"211",22.71428,198
"212",22.71428,159
"213",22.71428,172
"214",22.85714,182
"215",22.85714,191
"216",22.85714,191
"217",23,197
"218",23,182
"219",23,185
"220",23,178
"221",23.14286,185
"222",23.14286,184
"223",23.14286,200
"224",23.28572,194
"225",23.28572,195
"226",23.28572,183
"227",23.42857,199
"228",23.42857,199
"229",23.42857,192
"230",23.42857,187
"231",23.57143,195
"232",23.57143,198
"233",23.57143,183
"234",23.57143,177
"235",23.71428,190
"236",23.85714,186
"237",23.85714,199
"238",24,200
"239",24,183
"240",24,199
"241",24.14286,206
"242",24.14286,205
"243",24.14286,189
"244",24.28572,190
