"member_id","loan_amnt","funded_amnt","term","int_rate","emp_length","home_ownership","annual_inc","verification_status","loan_status","purpose","grade"
55096114,11000,11000,"36 months",12.69,"10+ years","RENT",51000,"Not Verified","Current","debt_consolidation","C"
1555332,10000,10000,"36 months",6.62,"10+ years","MORTGAGE",40000,"Verified","Fully Paid","debt_consolidation","A"
1009151,13000,13000,"60 months",10.99,"3 years","MORTGAGE",78204,"Not Verified","Fully Paid","home_improvement","B"
69524202,5000,5000,"36 months",12.05,"10+ years","MORTGAGE",51000,"Not Verified","Current","home_improvement","C"
72128084,18000,18000,"36 months",5.32,"10+ years","MORTGAGE",96000,"Not Verified","Current","credit_card","A"
53906707,14000,14000,"60 months",16.99,"3 years","MORTGAGE",47000,"Not Verified","Current","home_improvement","D"
610285,8000,8000,"36 months",13.11,"10+ years","MORTGAGE",40000,"Not Verified","Fully Paid","debt_consolidation","C"
48822267,5000,5000,"36 months",7.89,"10+ years","RENT",33000,"Source Verified","Current","credit_card","A"
62159245,7500,7500,"36 months",16.55,"< 1 year","MORTGAGE",50000,"Source Verified","Current","debt_consolidation","D"
1688398,6900,6900,"36 months",10.16,"n/a","MORTGAGE",70000,"Source Verified","Fully Paid","home_improvement","B"
37887752,12000,12000,"60 months",12.39,"10+ years","RENT",65000,"Source Verified","Current","debt_consolidation","C"
6988007,8000,8000,"36 months",10.16,"4 years","OWN",50000,"Not Verified","Fully Paid","debt_consolidation","B"
73276184,18250,18250,"60 months",19.89,"1 year","OWN",36500,"Source Verified","Issued","debt_consolidation","E"
16643051,9325,9325,"36 months",15.61,"10+ years","MORTGAGE",70000,"Verified","Current","debt_consolidation","C"
54625532,28000,28000,"36 months",6.24,"10+ years","MORTGAGE",176000,"Source Verified","Current","credit_card","A"
37086477,16000,16000,"60 months",14.99,"2 years","MORTGAGE",69500,"Verified","Fully Paid","debt_consolidation","C"
53898015,15000,15000,"60 months",16.99,"10+ years","MORTGAGE",50000,"Source Verified","Current","debt_consolidation","D"
70678892,6000,6000,"36 months",9.17,"2 years","MORTGAGE",55000,"Not Verified","Current","debt_consolidation","B"
65513148,23525,23525,"60 months",13.99,"10+ years","RENT",70000,"Source Verified","Current","credit_card","C"
19565421,9600,9600,"36 months",15.61,"8 years","RENT",70000,"Source Verified","Current","vacation","D"
42476086,1275,1275,"36 months",17.14,"7 years","RENT",20000,"Not Verified","Current","renewable_energy","D"
73275650,20000,20000,"36 months",7.91,"1 year","MORTGAGE",60000,"Verified","Issued","debt_consolidation","A"
1211761,5000,5000,"36 months",9.91,"2 years","RENT",25000,"Not Verified","Charged Off","other","B"
11237204,18000,18000,"60 months",18.25,"10+ years","MORTGAGE",40000,"Source Verified","Current","credit_card","D"
69919397,10000,10000,"36 months",9.17,"< 1 year","MORTGAGE",44400,"Not Verified","Current","credit_card","B"
1001598,5000,5000,"36 months",11.49,"9 years","RENT",35000,"Not Verified","Fully Paid","debt_consolidation","B"
59772021,21000,21000,"60 months",13.99,"< 1 year","RENT",1e+05,"Source Verified","Current","debt_consolidation","C"
71311660,18500,18500,"36 months",5.32,"10+ years","MORTGAGE",81000,"Source Verified","Current","debt_consolidation","A"
54138000,5000,5000,"36 months",10.99,"1 year","RENT",41000,"Not Verified","Current","major_purchase","B"
31178104,24000,24000,"60 months",9.17,"1 year","MORTGAGE",135000,"Verified","Current","debt_consolidation","B"
13699599,25000,25000,"36 months",10.99,"4 years","MORTGAGE",1400000,"Verified","Current","debt_consolidation","B"
10836927,20000,20000,"36 months",7.9,"3 years","MORTGAGE",49000,"Verified","Current","debt_consolidation","A"
2169359,10000,10000,"36 months",15.31,"10+ years","MORTGAGE",87350,"Not Verified","Fully Paid","debt_consolidation","C"
15519920,20000,20000,"36 months",6.62,"1 year","MORTGAGE",80000,"Not Verified","Fully Paid","credit_card","A"
11727381,5100,5100,"36 months",9.67,"8 years","MORTGAGE",78500,"Verified","Current","debt_consolidation","B"
16692704,14400,14400,"60 months",14.16,"10+ years","MORTGAGE",85000,"Not Verified","Current","debt_consolidation","C"
50177258,7500,7500,"36 months",11.53,"8 years","RENT",30000,"Source Verified","Current","debt_consolidation","B"
46964218,22000,22000,"60 months",13.33,"10+ years","MORTGAGE",93000,"Verified","Current","debt_consolidation","C"
65462052,35000,35000,"36 months",7.26,"5 years","MORTGAGE",240000,"Source Verified","Current","debt_consolidation","A"
31116680,10750,10750,"36 months",15.61,"< 1 year","RENT",30000,"Source Verified","Current","other","D"
63107693,13300,13300,"60 months",19.19,"2 years","OWN",37000,"Source Verified","Current","debt_consolidation","E"
17363140,3325,3325,"36 months",13.35,"6 years","MORTGAGE",45000,"Source Verified","Fully Paid","small_business","C"
14449170,7000,7000,"36 months",12.49,"3 years","RENT",60000,"Not Verified","Fully Paid","credit_card","B"
62554173,8000,8000,"36 months",11.53,"2 years","MORTGAGE",1e+05,"Source Verified","Current","home_improvement","B"
35493155,14400,14400,"60 months",14.99,"1 year","RENT",35000,"Source Verified","Current","debt_consolidation","C"
43315038,7800,7800,"36 months",9.49,"n/a","MORTGAGE",26000,"Verified","Current","credit_card","B"
26307377,20000,20000,"60 months",14.99,"< 1 year","MORTGAGE",95000,"Source Verified","Current","home_improvement","C"
31147898,15000,15000,"36 months",6.03,"1 year","RENT",55000,"Not Verified","Current","debt_consolidation","A"
41393327,15000,15000,"36 months",8.19,"10+ years","MORTGAGE",60000,"Source Verified","Current","debt_consolidation","A"
66662292,10575,10575,"60 months",18.49,"10+ years","MORTGAGE",60000,"Source Verified","Current","other","E"
41240148,2000,2000,"36 months",6.49,"n/a","MORTGAGE",76000,"Verified","Current","credit_card","A"
37797896,14950,14950,"36 months",17.86,"1 year","MORTGAGE",30000,"Verified","Current","credit_card","D"
28952304,3000,3000,"36 months",13.35,"1 year","RENT",27000,"Not Verified","Late (31-120 days)","other","C"
54766505,21000,21000,"36 months",12.29,"10+ years","RENT",96000,"Source Verified","Current","debt_consolidation","C"
852143,7200,7200,"60 months",7.66,"10+ years","MORTGAGE",72000,"Source Verified","Fully Paid","debt_consolidation","A"
65578127,16000,16000,"36 months",9.17,"3 years","RENT",80000,"Verified","Current","debt_consolidation","B"
71332200,15000,15000,"36 months",9.17,"10+ years","RENT",118627,"Source Verified","Current","credit_card","B"
7442117,8000,8000,"36 months",12.35,"2 years","RENT",85000,"Source Verified","Current","credit_card","B"
56428454,5000,5000,"36 months",9.99,"10+ years","MORTGAGE",48000,"Not Verified","Current","debt_consolidation","B"
41223528,7450,7450,"36 months",6.99,"7 years","RENT",56706,"Not Verified","Current","debt_consolidation","A"
27278052,10000,10000,"36 months",13.98,"10+ years","MORTGAGE",82000,"Verified","Current","debt_consolidation","C"
18414244,10350,10350,"36 months",14.99,"1 year","RENT",29000,"Source Verified","Current","other","C"
1876569,17000,17000,"36 months",17.77,"4 years","RENT",165000,"Not Verified","Fully Paid","debt_consolidation","D"
62978277,21350,21350,"60 months",19.19,"4 years","MORTGAGE",345000,"Verified","Current","debt_consolidation","E"
72707438,6000,6000,"36 months",11.99,"10+ years","MORTGAGE",1e+05,"Source Verified","Current","credit_card","C"
25195636,16000,16000,"36 months",18.24,"10+ years","MORTGAGE",65000,"Not Verified","Current","major_purchase","D"
51894165,15000,15000,"60 months",16.55,"3 years","MORTGAGE",85000,"Not Verified","Current","other","D"
52275154,24000,24000,"60 months",10.99,"10+ years","MORTGAGE",65000,"Source Verified","Fully Paid","debt_consolidation","B"
4065547,23000,23000,"36 months",14.33,"3 years","MORTGAGE",54000,"Verified","Current","credit_card","C"
5459518,10000,10000,"36 months",15.8,"n/a","MORTGAGE",62440.8,"Verified","Fully Paid","credit_card","C"
1085049,13400,13400,"36 months",9.99,"3 years","RENT",38000,"Not Verified","Fully Paid","debt_consolidation","B"
55476963,10000,10000,"60 months",14.65,"6 years","RENT",143000,"Source Verified","Current","credit_card","C"
43286054,7000,7000,"36 months",9.49,"10+ years","OWN",46121,"Source Verified","Current","credit_card","B"
70338720,20875,20875,"36 months",14.33,"4 years","MORTGAGE",58000,"Not Verified","Current","debt_consolidation","C"
34993564,1600,1600,"36 months",13.35,"10+ years","MORTGAGE",64484,"Source Verified","Current","house","C"
9878217,5000,5000,"36 months",10.99,"n/a","RENT",19350,"Verified","Current","debt_consolidation","B"
11710139,10000,10000,"36 months",13.98,"10+ years","RENT",53248,"Not Verified","Current","debt_consolidation","C"
62987012,16000,16000,"36 months",6.89,"< 1 year","RENT",50000,"Source Verified","Current","credit_card","A"
41314177,7000,7000,"36 months",7.49,"10+ years","RENT",74500,"Source Verified","Fully Paid","credit_card","A"
41378387,26400,26400,"36 months",12.39,"10+ years","MORTGAGE",75000,"Verified","Current","debt_consolidation","C"
61635398,28000,28000,"36 months",7.89,"2 years","MORTGAGE",188000,"Verified","Current","debt_consolidation","A"
8742293,9600,9600,"36 months",7.62,"9 years","RENT",52000,"Verified","Current","credit_card","A"
42552863,24000,24000,"36 months",11.99,"10+ years","RENT",72000,"Source Verified","Current","debt_consolidation","B"
382476,9600,9600,"36 months",9.32,"5 years","RENT",62000,"Verified","Fully Paid","other","A"
1873446,12250,12250,"36 months",12.12,"n/a","RENT",35664,"Verified","Fully Paid","debt_consolidation","B"
72757037,16000,16000,"36 months",13.44,"1 year","MORTGAGE",80000,"Verified","Issued","debt_consolidation","C"
